"자치구별(1)",자치구별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,소계,소계,20세미만,20세미만,20세미만,20~24세,20~24세,20~24세,25~29세,25~29세,25~29세,30~34세,30~34세,30~34세,35~39세,35~39세,35~39세,40~44세,40~44세,40~44세,45~49세,45~49세,45~49세,50~54세,50~54세,50~54세,55~59세,55~59세,55~59세,60~64세,60~64세,60~64세,65~69세,65~69세,65~69세,70~74세,70~74세,70~74세,75~79세,75~79세,75~79세,80~84세,80~84세,80~84세,85세이상,85세이상,85세이상
"자치구별(1)",자치구별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"합계",마포구,67162,29119,38043,485,205,280,7144,2448,4696,14365,6447,7918,11063,5509,5554,7085,3590,3495,4835,2434,2401,4016,1974,2042,3286,1721,1565,2652,1328,1324,2923,1167,1756,2547,843,1704,2212,549,1663,2002,427,1575,1488,280,1208,1059,197,862
"합계",양천구,42973,19657,23316,131,51,80,1399,498,901,4537,2083,2454,4725,2716,2009,3528,2051,1477,2961,1651,1310,2880,1667,1213,3102,1755,1347,3363,1803,1560,4305,1905,2400,3859,1404,2455,3013,975,2038,2258,543,1715,1689,330,1359,1223,225,998
"합계",강서구,94436,42696,51740,252,103,149,4754,1244,3510,17660,7020,10640,15371,8262,7109,9413,5331,4082,6507,3701,2806,5508,3176,2332,5121,2963,2158,5118,2621,2497,6609,2755,3854,6023,2279,3744,4356,1449,2907,3357,921,2436,2528,531,1997,1859,340,1519
"합계",구로구,54980,27121,27859,184,79,105,2874,920,1954,8488,4008,4480,7517,4378,3139,4837,2926,1911,3657,2232,1425,3748,2343,1405,3675,2359,1316,3765,2191,1574,4265,1992,2273,3728,1444,2284,2989,978,2011,2373,654,1719,1752,389,1363,1128,228,900
"합계",금천구,46827,25133,21694,116,37,79,2512,796,1716,8913,4461,4452,6729,4262,2467,3975,2632,1343,2859,1893,966,2805,1819,986,3281,2130,1151,3545,2215,1330,3713,1994,1719,2824,1231,1593,2106,764,1342,1598,462,1136,1160,291,869,691,146,545
"합계",영등포구,69806,34736,35070,165,63,102,3933,1095,2838,14988,6784,8204,12489,7135,5354,7036,4133,2903,4535,2666,1869,4025,2466,1559,3922,2491,1431,3751,2292,1459,4117,2111,2006,3381,1474,1907,2672,916,1756,2103,574,1529,1566,313,1253,1123,223,900
"합계",동작구,68231,32345,35886,943,399,544,8871,3533,5338,15186,7584,7602,10241,5847,4394,5462,3121,2341,3893,2293,1600,3363,1976,1387,3090,1751,1339,2873,1521,1352,3501,1467,2034,3160,1076,2084,2714,724,1990,2194,497,1697,1643,332,1311,1097,224,873
"합계",관악구,136255,71434,64821,734,328,406,15635,5856,9779,38989,20089,18900,23541,14346,9195,11571,7212,4359,7690,4918,2772,6311,4271,2040,5742,3731,2011,5231,3171,2060,5772,2785,2987,4780,1993,2787,3783,1257,2526,3095,773,2322,2143,471,1672,1238,233,1005
"합계",서초구,45933,20238,25695,297,113,184,2678,860,1818,6870,3019,3851,7735,3930,3805,5463,2834,2629,4111,2006,2105,3412,1760,1652,2951,1570,1381,2329,1123,1206,2556,1031,1525,2428,758,1670,1850,522,1328,1464,338,1126,1001,198,803,788,176,612
"합계",강남구,71986,31048,40938,397,181,216,3559,1055,2504,11227,4678,6549,12407,6065,6342,9231,4436,4795,6990,3425,3565,5206,2593,2613,4370,2392,1978,3275,1616,1659,3731,1470,2261,3585,1147,2438,2872,846,2026,2326,579,1747,1509,333,1176,1301,232,1069
"합계",송파구,79262,35267,43995,243,122,121,3250,933,2317,13028,5385,7643,13086,6651,6435,9127,4607,4520,6677,3509,3168,5424,2960,2464,4876,2706,2170,4377,2259,2118,5367,2217,3150,4633,1627,3006,3519,1048,2471,2591,635,1956,1752,382,1370,1312,226,1086
"합계",강동구,56905,26641,30264,150,68,82,2392,719,1673,8539,3602,4937,7152,3885,3267,5043,2828,2215,4158,2307,1851,3826,2265,1561,3889,2313,1576,4124,2359,1765,5100,2284,2816,4481,1756,2725,3162,1045,2117,2234,618,1616,1582,386,1196,1073,206,867
